"ID_REF"	"GSM1847063"	"GSM1847064"	"GSM1847065"	"GSM1847066"	"GSM1847067"	"GSM1847068"	"GSM1847069"	"GSM1847070"
"ILMN_2982771"	4.927786	6.047976	2.837363	3.869097	-5.77622	-1.84094	-4.346972	9.886206
"ILMN_2982781"	51.01876	55.0107	65.93102	62.75431	58.86686	49.11602	68.739	42.01508
"ILMN_2982829"	-7.847507	-2.6364	4.161334	-9.43846	-7.333316	1.141326	-5.110149	-1.851076
"ILMN_2982890"	256.6815	265.3783	274.764	289.4766	287.6312	303.4084	299.1588	312.7477
"ILMN_2982958"	309.3324	275.2824	248.7242	238.4206	310.1401	291.6359	293.5149	341.0455
"ILMN_2982965"	118.0868	123.0968	125.3414	101.5016	169.1682	142.9848	146.1165	154.763
"ILMN_2982969"	87.82974	71.89931	67.19622	54.13898	80.79132	85.96768	84.66523	100.03
"ILMN_2982985"	212.6752	271.5604	218.0514	206.2313	185.8892	160.6383	175.4676	222.1525
"ILMN_2983093"	258.8628	255.2404	294.3726	204.3391	295.9648	300.3232	330.0096	292.669
"ILMN_2983228"	719.0499	754.7173	704.3535	671.4935	722.9289	687.5813	726.0496	792.8958
"ILMN_2983247"	557.6398	551.1033	610.613	558.438	664.327	663.471	670.8135	720.29
"ILMN_2983316"	-0.4864056	-1.146471	-0.8158943	-3.904101	-3.758236	2.883171	7.643792	-3.553073
"ILMN_2983324"	20.43333	6.568119	24.04464	16.03087	17.70689	18.95527	14.44192	18.06511
"ILMN_2983333"	-0.9992868	-1.54839	-11.03762	-3.624415	-5.580215	-12.03197	15.06486	-9.004188
"ILMN_2983350"	-4.971563	-6.011834	-10.18871	-8.365423	-9.836592	-3.880491	-12.78973	-11.89573
"ILMN_2983387"	-1.406955	-2.586741	-1.719115	-2.884723	1.844335	-4.848459	-5.405391	2.88482
"ILMN_2983516"	581.9908	1026.583	719.7258	1498.9	479.1297	252.7226	316.5982	317.2801
"ILMN_2983525"	853.5353	965.4734	922.4874	1228.303	334.5247	281.6898	321.0814	293.5149
"ILMN_2983565"	8.609888	7.272743	1.843472	0.3635576	6.78236	9.041979	5.906959	11.16576
"ILMN_2983587"	343.0174	336.352	405.0511	388.8568	356.0587	375.0917	352.4784	403.3637
"ILMN_2983624"	4.07126	4.670573	18.60042	2.426192	5.458483	12.34116	15.21378	6.830013
"ILMN_2983631"	-1.572049	-1.078047	1.224083	-3.767505	-2.219624	-0.7049305	0.7458246	-5.451633
"ILMN_2983641"	0.3004254	-2.824847	0.4387463	1.853742	-4.126362	2.786932	-7.933941	-3.325447
"ILMN_2983669"	159.2405	148.3667	175.6966	175.8786	174.9186	189.3322	150.9062	175.1799
"ILMN_2983686"	1614.899	1637.989	1692.857	1454.12	1478.829	1477.395	1401.636	1321.149
"ILMN_2983714"	46.16595	25.0061	39.72419	35.48029	64.78962	61.40606	63.58603	84.66523
"ILMN_2983735"	-2.777436	-3.729361	-5.427088	-10.53377	-6.17627	-0.1429302	-0.6743032	-6.477749
"ILMN_2983927"	2.132774	5.960759	-2.524799	-4.463456	4.925091	5.312548	-6.386029	3.453869
"ILMN_2983948"	661.1085	789.6003	676.4305	744.4834	719.3979	925.5839	746.6998	853.5353
"ILMN_2984012"	62.60782	78.32892	88.15257	65.98934	73.52939	74.90784	86.09113	85.6017
"ILMN_2984070"	5.835235	6.403069	7.308536	6.556032	3.09536	-0.5334818	0.222122	5.408368
"ILMN_2984110"	475.3295	412.7473	422.0765	745.7883	509.7907	530.3163	608.2856	452.1536
"ILMN_2984153"	25.62885	5.734914	23.65546	17.38406	22.83445	26.75487	38.779	30.56388
"ILMN_2984219"	86.17245	37.2962	50.36726	21.22762	19.61817	12.9562	18.74643	12.19654
"ILMN_2984332"	-4.46281	1.577853	-3.498883	-9.909603	-6.167114	-3.080312	9.793076	3.876538
"ILMN_2984342"	2.619254	-0.5098507	5.538538	0.7970656	5.772366	-0.1012117	-5.642066	4.644775
"ILMN_2984391"	-5.199372	-0.3145801	-6.461884	5.757849	-0.7087595	-0.03248137	-3.65523	-3.93336
"ILMN_2984434"	107.3935	84.66523	97.12379	111.1547	129.3595	123.8848	111.6447	129.658
"ILMN_2984462"	110.1873	110.3386	101.4102	104.181	98.64436	106.6802	90.70638	107.6151
"ILMN_2984591"	3.581696	5.350868	3.931384	9.463548	3.343789	8.483787	5.091766	7.610994
"ILMN_2984647"	803.6479	967.3323	888.1769	911.7996	940.615	988.0808	993.3792	1000.762
"ILMN_2984717"	-5.011319	2.659708	-6.612163	2.759176	-12.75555	-2.41343	-1.608503	-1.754196
"ILMN_2984793"	159.6203	135.8487	138.4924	126.9339	149.6181	133.5996	129.1843	144.1093
"ILMN_2984802"	4.042253	0.7373045	0.2255114	-0.7360861	9.376318	-1.072939	-1.408215	6.740434
"ILMN_2984828"	2051.679	1927.645	1919.09	2613.962	1804.063	1856.182	1541.382	1335.646
"ILMN_2984862"	12.70588	4.823951	3.726831	-0.113435	2.854953	6.948416	5.264261	-1.436276
"ILMN_2984872"	10.03832	2.069262	0.7783535	7.194518	7.063212	4.718743	5.466773	4.392796
"ILMN_2984916"	-2.979184	-4.476211	0.9401596	0.8340119	-2.290433	-3.940635	-3.855988	-2.964666
"ILMN_2984935"	452.2921	426.0673	454.7454	458.174	561.7042	531.9253	521.2045	486.8913
"ILMN_2984942"	5.723462	12.40161	3.114094	3.999187	6.821333	0.8898886	-5.595122	3.188741
"ILMN_2984969"	83.54115	77.3974	85.28601	74.8753	112.9103	94.61921	85.20879	98.24188
"ILMN_2984999"	78.00947	60.40179	77.72731	91.02514	97.65562	98.7271	80.65852	78.95373
"ILMN_2985042"	3.532914	5.164879	-1.423947	3.963827	-4.20884	-0.004793342	-3.913028	-2.123319
"ILMN_2985053"	1912.763	1967.681	1885.877	1786.074	2019.608	1885.877	2032.264	2057.884
"ILMN_2985079"	-1.88454	-6.880035	3.744202	6.17769	2.735938	5.347231	4.387969	0.7916029
"ILMN_2985111"	703.6794	784.4105	750.5753	750.9022	695.475	627.9803	720.1495	729.1983
"ILMN_2985127"	1.443828	1.602156	4.614778	-5.936135	14.50602	10.22418	4.477925	2.27838
"ILMN_2985193"	7.781919	-0.6697838	7.272743	-1.649307	1.328483	5.614046	-1.077261	6.843683
